FILMS:
(500) Days of Summer | (500) Dias com Ela ; 500 Dias com Summer ; 500 días con ella ; 500 dni miłości ; 初恋500天 ; (500) jours ensemble ; 500일의 썸머 ; （500）日のサマー ; (500) días juntos ; Yayın 500 Günü ; 500 giorni insieme ; 仲夏500天 ; 19913 ; 500 days of summer
10 Things I Hate About You | 10 důvodů, proč tě nenávidím ; 对面的恶女看过来 ; 我恨你的10件事 ; Ten Things I Hate About You ; 10 razones para odiarte ; Dix bonnes raisons de te larguer ; 내가 널 사랑할 수 없는 10가지 이유 ; Səndən Nifrət Etməyimin 10 Səbəbi ; 10 Coisas Que Eu Odeio em Você ; 4951 ; 10 things i hate about you
12 Angry Men | Twelve Angry Men ; Doze Homens e uma Sentença ; 12 hombres sin piedad ; Douze Hommes en colère ; 12 hombres en pugna ; 12 edsvorne menn ; 12 مرد خشمگین ; De Twaalf Gezworenen ; 12 edsvurna män ; 12 Angry Men - Die 12 Geschworenen ; Die 12 Geschworenen ; 12 Hommes en colère ; Οι δώδεκα ένορκοι ; 12인의 성난 사람들 ; 12명의 성난 사람들 ; Dwunastu gniewnych ludzi ; Дванаест гневних људи ; 十二人の怒れる男：1957 ; 12 Əsəbi Kişi ; 十二怒漢 ; Doce hombres en pugna ; 12 Homens e uma Sentença ; 12 разгневени мъже ; 十二怒汉 ; 12 gnjevnih ljudi ; 12 ljutih muškaraca ; Dvanáct rozhněvaných mužů ; Dvanásť rozhnevaných mužov ; Tolv vrede mænd ; 12 vihast meest ; Valamiesten ratkaisu ; Juryns beslut ; Οι 12 ένορκοι ; Oi 12 enorkoi ; Tizenkét dühös ember ; 12 Reiðir Menn ; 12 Mard-e khashmgin ; La parola ai giurati ; Juuni nin no okoreru otoko ; 12 įtūžusių vyrų ; De 12 gezworenen ; Doze Homens em Fúria ; 12 oameni furioși ; 12 Oameni mânioşi ; 12 рaзгневанных мужчин ; 12 гневних људи ; 12 jeznih mož ; 12 разгневанных мужчин ; Doce hombres sin piedad ; Dotze homes sense pietat ; 12 Öfkeli Adam ; 12 розгніваних чоловіків ; 12 g'azablangan erkak ; 12 Người Đàn Ông Giận Dữ ; 12 gnevnih ljudi ; 12 բարկացած տղամարդիկ ; 389 ; 12 angry men
12 Angry Men | 12219 ; 12 angry men
12 Years a Slave | 12 Anos de Escravidão ; دوازده سال بردگی ; 노예 12년 ; 12 години в робство ; 12 años de esclavitud ; 12 let v řetězech ; 被奪走的十二年 ; 为奴12年 ; Esclave pendant douze ans ; 12 illik Əsarət ; それでも夜は明ける ; 76203 ; 12 years a slave
1917 | 일구일칠 ; 一九一七 ; 1917：逆战救兵 ; One Nine One Seven ; 530915 ; 1917
2 Fast 2 Furious | Halálosabb iramban ; Wild Speed X2 ; +rápido +furioso ; Bŭrzi i yarostni 2 ; Oi Machités ton Drómon 2 ; Dvoynoy forsazh ; Prebrzi i prežestoki ; Podviynyy forsazh ; 速度与激情2：飙风再起 ; เร็ว...แรงทะลุนรก: เร็วคูณ 2 ดับเบิ้ลแรงท้านรก ; Mais Velozes Mais Furiosos ; 玩命關頭2：飆風再起 ; F&F2 - 2 Fast 2 Furious ; Za Szybcy, za Wściekli ; Fast & Furious 2 - 2 Fast 2 Furious ; 狂野時速2 ; Hızlı ve Öfkeli 2 ; Quá Nhanh Quá Nguy Hiểm 2 ; 2 Fast 2 Furious: A todo gas 2 ; Más rápido, más furioso ; Паклене улице 2 ; Fast & Furious 2 ; Forsaj 2 ; ワイルド・スピードX2：2003 ; 2 מהיר 2 עצבני ; Velozes e Furiosos ; The Fast and the Furious II: 2 Fast 2 Furious ; A todo gas 2 ; 분노의 질주 2 ; 584 ; 2 fast 2 furious
28 Days Later | 28 Tage später ; 28 päivää myöhemmin ; Devastación: 28 días después ; Exterminio ; Extermínio: Os Dias Estão Contados ; 28 dager senere ; 28日後 ; 28 วันให้หลัง เชื้อเขมือบคน ; 28 يوما لاحقا ; 28 giorni dopo ; 28 жылдан кейін ; 28 kundan so‘ng ; 28 dní poté ; 170 ; 28 days later
28 Weeks Later | Twenty Eight Weeks Later ; 28 Wochen später ; 28 tygodni później ; 28 viikkoa myöhemmin ; 28 週後 ; 28 Days Later 2 ; 28 أسبوعا لاحقا ; 28 semanas después ; มหาภัยเชื้อนรกถล่มเมือง ; 28 týdnů poté ; 1562 ; 28 weeks later
28 Years Later | 28 Days Later 3 ; 28 İl Sonra ; עשרים ושמונה שנים אחרי ; بعد 28 سنة ; Extermínio: A Evolução ; ٢٨ عاما لاحقا ; 28 שנים אחרי ; Exterminio: La evolución ; 28 vuotta myöhemmin ; 28 ans plus tard ; 28 évvel később ; 28 anni dopo ; 28年後... ; 28 лет спустя ; 28 ปีให้หลัง เชื้อเขมือบคน ; 28 Yıl Sonra ; 28 Años Después ; Extermínio 3: A Evolução ; Extermínio 3 ; 28年毁灭倒数 ; 28 let poté ; 28 Years Later Part 1 ; 1100988 ; 28 years later
28 Years Later: The Bone Temple | 28 Years Later 2 ; 28년 후: 뼈의 사원 ; Extermínio 4 ; Extermínio 4: O Templo dos Ossos ; 28 Years Later II: The Bone Temple ; 28 Năm Sau: Thánh Địa Xương ; 28 років по тому: Храм кісток ; 28 let poté: Chrám z kostí ; 28 Years Later Part 2 ; 28 Ans plus tard - Le Temple des morts ; 1272837 ; 28 years later the bone temple
